,BLEU_Score,eta,filterSize_1,filterSize_2,filterSize_34,filterSize_5,k,numFilters_1,numFilters_2,numFilters_34,numFilters_5,strides,file_name
0,0.00020273072491938492,0.001,5,9,2,3,2,72,128,192,192,3,5-72-9-128-2-192-3-192-2-3-0.001
1,0.003649153048548929,0.005,3,5,5,3,2,72,128,192,128,3,3-72-5-128-5-192-3-128-2-3-0.005
2,0.003851883773468314,0.0005,9,5,2,9,2,72,192,192,128,2,9-72-5-192-2-192-9-128-2-2-0.0005
3,0.009122882621372322,0.005,3,5,5,9,2,48,192,128,192,3,3-48-5-192-5-128-9-192-2-3-0.005
